,County,Year,GDP (thousands),Average Monthly ZHVI,Estimated ZHVI,ZHVI Residual
0,"Autauga, AL",2001,748918,158025.05555555556,7577669.446089042,158025.05555555556
1,"Autauga, AL",2002,781937,159522.80555555556,7724015.874363912,159522.80555555556
2,"Autauga, AL",2003,804299,164254.75,8186306.460877053,164254.75
3,"Autauga, AL",2004,946964,172771.9642857143,9018370.899873761,172771.9642857143
4,"Autauga, AL",2005,969849,182659.10714285713,9984276.865396885,182659.10714285713
5,"Autauga, AL",2006,1080320,195609.11904761905,11249421.221978707,195609.11904761905
6,"Autauga, AL",2007,1136583,203410.42857142858,12011536.366820006,203410.42857142858
7,"Autauga, AL",2008,1043678,206342.2619047619,12297976.772495518,206342.2619047619
8,"Autauga, AL",2009,1124580,198430.16666666666,11525017.533169234,198430.16666666666
9,"Autauga, AL",2010,1201882,185281.42857142858,10240431.962150363,185281.42857142858
10,"Autauga, AL",2011,1316842,177653.13095238095,9495217.973578462,177653.13095238095
11,"Autauga, AL",2012,1487130,172531.77380952382,8994924.209095413,172531.77380952382
12,"Autauga, AL",2013,1457702,171747.70238095237,8918331.685886135,171747.70238095237
13,"Autauga, AL",2014,1503623,173719.2857142857,9110887.633903338,173719.2857142857
14,"Autauga, AL",2015,1660498,183885.36904761905,10104050.377456294,183885.36904761905
15,"Autauga, AL",2016,1716235,188120.58333333334,10517884.469694177,188120.58333333334
16,"Autauga, AL",2017,1655670,189611.63095238095,10663547.036154678,189611.63095238095
17,"Autauga, AL",2018,1739294,195338.45238095237,11222946.000308154,195338.45238095237
18,"Autauga, AL",2019,1737286,202111.33333333334,11884631.152982185,202111.33333333334
19,"Baldwin, AL",2001,3042910,129147.38095238095,4756446.378184035,129147.38095238095
20,"Baldwin, AL",2002,3272516,134586.80555555556,5287904.70249331,134586.80555555556
21,"Baldwin, AL",2003,3482632,141003.48015873015,5914712.902634542,141003.48015873015
22,"Baldwin, AL",2004,3927738,152293.08333333334,7017684.314666107,152293.08333333334
23,"Baldwin, AL",2005,4473372,176493.6865079365,9381989.996028012,176493.6865079365
24,"Baldwin, AL",2006,4677561,202596.2380952381,11932013.007263431,202596.2380952381
25,"Baldwin, AL",2007,4834320,208124.4090909091,12472068.45152477,208124.4090909091
26,"Baldwin, AL",2008,4646662,201066.4090909091,11782540.35355145,201066.4090909091
27,"Baldwin, AL",2009,4520189,189589.66287878787,10661397.756166665,189589.66287878787
28,"Baldwin, AL",2010,4705935,173760.5303030303,9114990.804789549,173760.5303030303
29,"Baldwin, AL",2011,4807109,159791.89015151514,7750295.706944646,159791.89015151514
30,"Baldwin, AL",2012,5051126,156455.55681818182,7424386.705125576,156455.55681818182
31,"Baldwin, AL",2013,5306439,160607.49242424243,7829916.761046128,160607.49242424243
32,"Baldwin, AL",2014,5512315,167892.66287878787,8541719.215258881,167892.66287878787
33,"Baldwin, AL",2015,5851578,173280.61742424243,9068097.423232848,173280.61742424243
34,"Baldwin, AL",2016,6183519,178204.4090909091,9549047.66782376,178204.4090909091
35,"Baldwin, AL",2017,6436833,184863.85606060605,10199693.336922979,184863.85606060605
36,"Baldwin, AL",2018,6875914,202870.28787878787,11958781.312568715,202870.28787878787
37,"Baldwin, AL",2019,7223316,216228.94318181818,13263882.738018645,216228.94318181818
38,"Barbour, AL",2001,638536,68435.0,-1174784.832379328,68435.0
39,"Barbour, AL",2002,643629,67993.75,-1217868.1266845465,67993.75
40,"Barbour, AL",2003,675121,72215.72727272728,-805401.7580754003,72215.72727272728
41,"Barbour, AL",2004,761416,74522.25,-580118.1375134168,74522.25
42,"Barbour, AL",2005,761648,79292.125,-114115.15829370357,79292.125
43,"Barbour, AL",2006,761095,85888.04166666667,530278.0599312931,85888.04166666667
44,"Barbour, AL",2007,758032,89487.20833333333,881880.7270616386,89487.20833333333
45,"Barbour, AL",2008,720271,90246.33333333333,956030.8866481707,90246.33333333333
46,"Barbour, AL",2009,728994,87330.125,671153.5936912149,87330.125
47,"Barbour, AL",2010,746844,85164.33333333333,459547.2094166018,85164.33333333333
48,"Barbour, AL",2011,724247,84533.29166666667,397901.9515785221,84533.29166666667
49,"Barbour, AL",2012,723755,85182.04166666667,461305.71122497786,85182.04166666667
50,"Barbour, AL",2013,831850,81815.33333333333,132368.1785137048,81815.33333333333
51,"Barbour, AL",2014,788481,79257.70833333333,-117436.77282063663,79257.70833333333
52,"Barbour, AL",2015,790096,84139.24242424243,359410.3008840643,84139.24242424243
53,"Barbour, AL",2016,763866,87516.75,689422.4735893458,87516.75
54,"Barbour, AL",2017,783249,90307.30555555556,961990.2538876683,90307.30555555556
55,"Barbour, AL",2018,828063,93569.55555555556,1280767.553928323,93569.55555555556
56,"Barbour, AL",2019,834832,81944.40579710146,144970.7748070676,81944.40579710146
57,"Bibb, AL",2001,223597,113437.0,3221665.077651184,113437.0
58,"Bibb, AL",2002,234884,115417.58333333333,3415197.9711174853,115417.58333333333
59,"Bibb, AL",2003,252134,122961.79166666667,4152205.617916964,122961.79166666667
60,"Bibb, AL",2004,273739,125210.125,4371822.954874178,125210.125
61,"Bibb, AL",2005,276572,134220.54166666666,5252148.499056326,134220.54166666666
62,"Bibb, AL",2006,307014,139431.41666666666,5761137.078036347,139431.41666666666
63,"Bibb, AL",2007,330907,131654.72916666666,5001464.296817796,131654.72916666666
64,"Bibb, AL",2008,337270,146251.55,6427511.568866046,146251.55
65,"Bibb, AL",2009,333100,139940.67164179104,5810961.295940341,139940.67164179104
66,"Bibb, AL",2010,362554,131725.09722222222,5008302.9149614815,131725.09722222222
67,"Bibb, AL",2011,372407,121701.84722222222,4029110.4913306255,121701.84722222222
68,"Bibb, AL",2012,371222,116141.97222222222,3485928.821632175,116141.97222222222
69,"Bibb, AL",2013,386524,114738.59722222222,3348863.3751237355,114738.59722222222
70,"Bibb, AL",2014,391866,113731.52777777778,3250484.968399573,113731.52777777778
71,"Bibb, AL",2015,384602,115281.15277777778,3401813.8184648436,115281.15277777778
72,"Bibb, AL",2016,395153,117270.75,3596225.9628353305,117270.75
73,"Bibb, AL",2017,403787,121531.81944444444,4012502.41869596,121531.81944444444
74,"Bibb, AL",2018,424482,126432.11111111111,4491205.688753946,126432.11111111111
75,"Bibb, AL",2019,467477,132380.16666666666,5072292.841877395,132380.16666666666
76,"Blount, AL",2001,620406,153806.39534883722,7165496.161114624,153806.39534883722
77,"Blount, AL",2002,635887,150299.95774647887,6822979.08666089,150299.95774647887
78,"Blount, AL",2003,663907,154740.04166666666,7256742.866060371,154740.04166666666
79,"Blount, AL",2004,698997,161420.94444444444,7909440.120602699,161420.94444444444
80,"Blount, AL",2005,710684,173141.51388888888,9054517.881490385,173141.51388888888
81,"Blount, AL",2006,741832,186314.38888888888,10341350.42704218,186314.38888888888
82,"Blount, AL",2007,782556,194992.125,11189143.687769366,194992.125
83,"Blount, AL",2008,786828,197207.38888888888,11405537.10474456,197207.38888888888
84,"Blount, AL",2009,781371,188533.54166666666,10558232.316741923,188533.54166666666
85,"Blount, AL",2010,781488,180810.98611111112,9803737.34640359,180810.98611111112
86,"Blount, AL",2011,772505,174186.52777777778,9156608.68092112,174186.52777777778
87,"Blount, AL",2012,809863,171966.33333333334,8939629.096676467,171966.33333333334
88,"Blount, AL",2013,880086,170560.0,8802270.5665333,170560.0
89,"Blount, AL",2014,888896,173763.09722222222,9115186.193879368,173763.09722222222
90,"Blount, AL",2015,917442,178938.01388888888,9620755.463787546,178938.01388888888
