months_ago,Date,Civilian Labor Force (Adjusted),     Civilian Employment (Adjusted),     Civilian Unemployment (Adjusted),     Unemployment Rate (Adjusted),     Total Nonfarm Employment (Adjusted),     Total Private Average Weekly Hours of All Employees (Adjusted),     Total Private Average Weekly Hours of Prod. and Nonsup. Employees (Adjusted),     Total Private Average Hourly Earnings of All Employees (Adjusted),     Total Private Average Hourly Earnings of Prod. and Nonsup. Employees (Adjusted),     Non-farm Business Productivity,     Nonfarm Business Unit Labor Costs,     Nonfarm Business Real Hourly Compensation,     Private Nonfarm Business,     CPI for All Urban Consumers (CPI-U) 1982-84=100 (Unadjusted),     PPI Final Demand (Adjusted),     PPI Final Demand (Unadjusted),     PPI Final Demand less foods and energy (Unadjusted),     PPI Finished Goods 1982=100 (Unadjusted),     Imports,     Exports,     Employment Cost Index (ECI) Civilian (Unadjusted),     ECI Private (Unadjusted)
0,2020-12-01 00:00:00,160567,149830,10736,6.7,142503,34.7,34.2,29.91,25.15,-3.4,13.3,6.8,100.953,260.474,119.8,119.4,119.5,204.4,124.6,125.5,2.5,2.6
1,2020-11-01 00:00:00,160536,149809,10728,6.7,142809,34.8,34.2,29.61,24.93,4.6,-9.9,-10.0,103.019,260.229,119.4,119.3,119.6,203.8,123.4,124.0,2.4,2.4
2,2020-10-01 00:00:00,160718,149669,11049,6.9,142545,34.8,34.2,29.52,24.83,11.2,10.3,26.6,102.038,260.388,119.4,119.5,119.8,203.8,123.3,123.0,2.7,2.7
3,2020-09-01 00:00:00,160078,147543,12535,7.8,141865,34.8,34.1,29.50,24.79,-1.8,11.3,8.2,101.215,260.280,118.7,118.7,119.0,203.3,123.4,122.8,2.8,2.8
4,2020-08-01 00:00:00,160818,147276,13542,8.4,141149,34.7,34.0,29.47,24.81,0.6,3.5,1.5,100.824,259.918,118.4,118.5,118.8,203.2,123.2,122.1,2.7,2.7
5,2020-07-01 00:00:00,160085,143777,16308,10.2,139566,34.6,34.0,29.37,24.67,0.8,-0.5,-1.1,101.233,259.101,118.2,118.4,118.7,203.3,122.1,121.5,2.8,2.7
6,2020-06-01 00:00:00,159797,142100,17697,11.1,137840,34.6,33.9,29.35,24.77,4.3,-2.8,-2.0,100.456,257.797,117.6,117.7,118.2,202.2,120.6,120.3,2.7,2.6
7,2020-05-01 00:00:00,158200,137224,20975,13.3,132994,34.7,34.1,29.74,25.01,3.4,5.6,8.4,100.083,256.394,117.2,117.3,118.0,200.9,119.0,118.2,2.8,2.8
8,2020-04-01 00:00:00,156478,133370,23109,14.8,130161,34.2,33.5,30.07,25.16,0.1,1.6,0.1,100.000,256.389,116.7,116.7,118.1,196.1,118.2,118.2,2.9,3.0
9,2020-03-01 00:00:00,162721,155536,7185,4.4,150840,34.1,33.4,28.74,24.15,1.1,4.1,3.6,99.120,258.115,118.0,118.1,118.5,201.8,121.3,122.5,2.8,2.9
10,2020-02-01 00:00:00,164448,158732,5717,3.5,152523,34.4,33.7,28.51,23.96,1.6,-0.4,-1.3,,258.678,118.6,118.4,118.3,205.0,124.3,124.3,2.8,2.9
11,2020-01-01 00:00:00,164455,158659,5796,3.5,152234,34.3,33.6,28.43,23.88,1.2,1.1,-0.8,,257.971,119.2,119.0,118.5,206.8,125.2,125.8,2.7,2.8
12,2019-12-01 00:00:00,164579,158735,5844,3.6,151919,34.3,33.5,28.36,23.84,1.7,4.0,2.6,,256.974,118.8,118.4,117.9,206.0,125.0,125.0,2.6,2.6
13,2019-11-01 00:00:00,164447,158540,5907,3.6,151758,34.3,33.5,28.33,23.81,3.2,1.8,3.1,,257.208,118.5,118.3,117.8,206.4,124.7,125.2,2.5,2.5
14,2019-10-01 00:00:00,164278,158356,5922,3.6,151524,34.4,33.6,28.24,23.77,-0.3,2.5,1.6,,257.346,118.7,118.8,118.4,206.3,124.5,125.1,2.4,2.4
15,2019-09-01 00:00:00,163958,158230,5728,3.5,151329,34.4,33.6,28.15,23.69,0.4,3.6,1.2,,256.759,118.3,118.3,117.8,205.7,125.0,125.1,2.4,2.3
16,2019-08-01 00:00:00,163861,157861,6000,3.7,151108,34.4,33.6,28.16,23.64,2.3,2.0,1.8,,256.558,118.6,118.8,118.2,206.4,124.9,125.5,2.2,2.2
17,2019-07-01 00:00:00,163586,157617,5969,3.6,150913,34.3,33.6,28.04,23.54,1.6,0.1,0.0,,256.571,118.5,118.7,118.0,207.4,125.6,126.2,2.3,2.3
18,2019-06-01 00:00:00,163046,157131,5914,3.6,150720,34.4,33.6,27.96,23.47,-0.3,1.4,-2.0,,256.143,118.3,118.5,117.8,206.9,125.6,126.0,2.3,2.4
19,2019-05-01 00:00:00,162848,156883,5965,3.7,150545,34.4,33.6,27.88,23.42,1.4,-1.0,0.5,,256.092,118.4,118.6,117.7,207.6,127.0,126.7,1.9,1.8
20,2019-04-01 00:00:00,162737,156741,5995,3.7,150482,34.4,33.7,27.80,23.33,-1.6,1.5,-0.1,,255.548,118.3,118.5,117.7,207.1,126.8,127.1,2.0,1.9
21,2019-03-01 00:00:00,163010,156809,6201,3.8,150263,34.5,33.7,27.76,23.28,-0.1,1.4,-0.2,,254.202,117.7,117.7,117.2,204.9,126.6,127.0,2.0,1.9
