,County,Year,GDP (thousands)
0,"Autauga, AL",2001,"748,918"
1,"Autauga, AL",2002,"781,937"
2,"Autauga, AL",2003,"804,299"
3,"Autauga, AL",2004,"946,964"
4,"Autauga, AL",2005,"969,849"
5,"Autauga, AL",2006,"1,080,320"
6,"Autauga, AL",2007,"1,136,583"
7,"Autauga, AL",2008,"1,043,678"
8,"Autauga, AL",2009,"1,124,580"
9,"Autauga, AL",2010,"1,201,882"
10,"Autauga, AL",2011,"1,316,842"
11,"Autauga, AL",2012,"1,487,130"
12,"Autauga, AL",2013,"1,457,702"
13,"Autauga, AL",2014,"1,503,623"
14,"Autauga, AL",2015,"1,660,498"
15,"Autauga, AL",2016,"1,716,235"
16,"Autauga, AL",2017,"1,655,670"
17,"Autauga, AL",2018,"1,739,294"
18,"Autauga, AL",2019,"1,737,286"
19,"Baldwin, AL",2001,"3,042,910"
20,"Baldwin, AL",2002,"3,272,516"
21,"Baldwin, AL",2003,"3,482,632"
22,"Baldwin, AL",2004,"3,927,738"
23,"Baldwin, AL",2005,"4,473,372"
24,"Baldwin, AL",2006,"4,677,561"
25,"Baldwin, AL",2007,"4,834,320"
26,"Baldwin, AL",2008,"4,646,662"
27,"Baldwin, AL",2009,"4,520,189"
28,"Baldwin, AL",2010,"4,705,935"
29,"Baldwin, AL",2011,"4,807,109"
30,"Baldwin, AL",2012,"5,051,126"
31,"Baldwin, AL",2013,"5,306,439"
32,"Baldwin, AL",2014,"5,512,315"
33,"Baldwin, AL",2015,"5,851,578"
34,"Baldwin, AL",2016,"6,183,519"
35,"Baldwin, AL",2017,"6,436,833"
36,"Baldwin, AL",2018,"6,875,914"
37,"Baldwin, AL",2019,"7,223,316"
38,"Barbour, AL",2001,"638,536"
39,"Barbour, AL",2002,"643,629"
40,"Barbour, AL",2003,"675,121"
41,"Barbour, AL",2004,"761,416"
42,"Barbour, AL",2005,"761,648"
43,"Barbour, AL",2006,"761,095"
44,"Barbour, AL",2007,"758,032"
45,"Barbour, AL",2008,"720,271"
46,"Barbour, AL",2009,"728,994"
47,"Barbour, AL",2010,"746,844"
48,"Barbour, AL",2011,"724,247"
49,"Barbour, AL",2012,"723,755"
50,"Barbour, AL",2013,"831,850"
51,"Barbour, AL",2014,"788,481"
52,"Barbour, AL",2015,"790,096"
53,"Barbour, AL",2016,"763,866"
54,"Barbour, AL",2017,"783,249"
55,"Barbour, AL",2018,"828,063"
56,"Barbour, AL",2019,"834,832"
57,"Bibb, AL",2001,"223,597"
58,"Bibb, AL",2002,"234,884"
59,"Bibb, AL",2003,"252,134"
60,"Bibb, AL",2004,"273,739"
61,"Bibb, AL",2005,"276,572"
62,"Bibb, AL",2006,"307,014"
63,"Bibb, AL",2007,"330,907"
64,"Bibb, AL",2008,"337,270"
65,"Bibb, AL",2009,"333,100"
66,"Bibb, AL",2010,"362,554"
67,"Bibb, AL",2011,"372,407"
68,"Bibb, AL",2012,"371,222"
69,"Bibb, AL",2013,"386,524"
70,"Bibb, AL",2014,"391,866"
71,"Bibb, AL",2015,"384,602"
72,"Bibb, AL",2016,"395,153"
73,"Bibb, AL",2017,"403,787"
74,"Bibb, AL",2018,"424,482"
75,"Bibb, AL",2019,"467,477"
76,"Blount, AL",2001,"620,406"
77,"Blount, AL",2002,"635,887"
78,"Blount, AL",2003,"663,907"
79,"Blount, AL",2004,"698,997"
80,"Blount, AL",2005,"710,684"
81,"Blount, AL",2006,"741,832"
82,"Blount, AL",2007,"782,556"
83,"Blount, AL",2008,"786,828"
84,"Blount, AL",2009,"781,371"
85,"Blount, AL",2010,"781,488"
86,"Blount, AL",2011,"772,505"
87,"Blount, AL",2012,"809,863"
88,"Blount, AL",2013,"880,086"
89,"Blount, AL",2014,"888,896"
90,"Blount, AL",2015,"917,442"
91,"Blount, AL",2016,"876,333"
92,"Blount, AL",2017,"943,993"
93,"Blount, AL",2018,"980,678"
94,"Blount, AL",2019,"975,948"
95,"Bullock, AL",2001,"177,283"
96,"Bullock, AL",2002,"190,141"
97,"Bullock, AL",2003,"191,436"
98,"Bullock, AL",2004,"193,689"
99,"Bullock, AL",2005,"190,225"
100,"Bullock, AL",2006,"206,354"
101,"Bullock, AL",2007,"205,146"
102,"Bullock, AL",2008,"204,804"
103,"Bullock, AL",2009,"231,922"
104,"Bullock, AL",2010,"223,581"
105,"Bullock, AL",2011,"224,906"
106,"Bullock, AL",2012,"249,552"
107,"Bullock, AL",2013,"232,138"
108,"Bullock, AL",2014,"215,599"
109,"Bullock, AL",2015,"218,664"
110,"Bullock, AL",2016,"232,873"
111,"Bullock, AL",2017,"238,795"
112,"Bullock, AL",2018,"250,253"
113,"Bullock, AL",2019,"272,268"
114,"Butler, AL",2001,"365,403"
115,"Butler, AL",2002,"383,051"
116,"Butler, AL",2003,"405,904"
117,"Butler, AL",2004,"440,445"
118,"Butler, AL",2005,"432,981"
119,"Butler, AL",2006,"451,960"
120,"Butler, AL",2007,"491,080"
121,"Butler, AL",2008,"478,870"
122,"Butler, AL",2009,"449,369"
123,"Butler, AL",2010,"530,579"
124,"Butler, AL",2011,"559,415"
125,"Butler, AL",2012,"559,656"
126,"Butler, AL",2013,"582,905"
127,"Butler, AL",2014,"593,153"
128,"Butler, AL",2015,"615,852"
129,"Butler, AL",2016,"601,096"
130,"Butler, AL",2017,"627,398"
131,"Butler, AL",2018,"660,163"
132,"Butler, AL",2019,"664,893"
133,"Calhoun, AL",2001,"2,719,537"
134,"Calhoun, AL",2002,"2,859,680"
135,"Calhoun, AL",2003,"2,997,971"
136,"Calhoun, AL",2004,"3,324,586"
137,"Calhoun, AL",2005,"3,568,305"
138,"Calhoun, AL",2006,"3,777,282"
139,"Calhoun, AL",2007,"4,024,250"
140,"Calhoun, AL",2008,"4,156,337"
141,"Calhoun, AL",2009,"4,049,773"
142,"Calhoun, AL",2010,"4,238,183"
143,"Calhoun, AL",2011,"4,153,945"
144,"Calhoun, AL",2012,"4,185,918"
145,"Calhoun, AL",2013,"4,091,975"
146,"Calhoun, AL",2014,"4,047,759"
147,"Calhoun, AL",2015,"4,041,585"
148,"Calhoun, AL",2016,"4,117,248"
149,"Calhoun, AL",2017,"4,218,400"
150,"Calhoun, AL",2018,"4,402,334"
151,"Calhoun, AL",2019,"4,590,003"
152,"Chambers, AL",2001,"702,379"
153,"Chambers, AL",2002,"732,433"
154,"Chambers, AL",2003,"669,342"
155,"Chambers, AL",2004,"744,603"
156,"Chambers, AL",2005,"709,929"
157,"Chambers, AL",2006,"707,470"
158,"Chambers, AL",2007,"701,681"
159,"Chambers, AL",2008,"636,745"
160,"Chambers, AL",2009,"623,913"
161,"Chambers, AL",2010,"646,638"
162,"Chambers, AL",2011,"672,987"
163,"Chambers, AL",2012,"750,106"
164,"Chambers, AL",2013,"996,526"
165,"Chambers, AL",2014,"977,011"
166,"Chambers, AL",2015,"987,823"
167,"Chambers, AL",2016,"921,607"
168,"Chambers, AL",2017,"876,383"
169,"Chambers, AL",2018,"906,708"
170,"Chambers, AL",2019,"953,730"
171,"Cherokee, AL",2001,"312,699"
172,"Cherokee, AL",2002,"318,075"
173,"Cherokee, AL",2003,"336,326"
174,"Cherokee, AL",2004,"372,840"
175,"Cherokee, AL",2005,"365,661"
176,"Cherokee, AL",2006,"403,636"
177,"Cherokee, AL",2007,"434,303"
178,"Cherokee, AL",2008,"452,363"
179,"Cherokee, AL",2009,"428,216"
180,"Cherokee, AL",2010,"452,084"
181,"Cherokee, AL",2011,"475,347"
