,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NY,272628.127,428121731,441208293,439693724,416239647,282145.183,279772.51,273607.781,273188.204,286874.362,300499.548,309988.044,319099.177,333277.904,346721.786,349597.492
IL,237734.874,109995046,113513594,111144560,99504136,212146.056,196030.4,180770.623,179126.22,196294.319,202414.145,207426.836,216057.232,224193.354,228702.963,229124.265
TX,161799.029,96557082,100945310,103201821,99042807,170603.209,165478.851,161731.621,168722.356,184196.72,198235.042,212724.561,225873.491,237235.426,250111.457,256474.51
CA,556066.53,820703410,829911031,757777084,609091197,449501.957,431487.055,407332.035,451733.629,542171.733,568900.573,615597.989,644504.35,696788.976,724149.981,729261.944
TN,126372.373,52025135,55556578,56463118,54861704,137889.535,135021.582,131396.789,133180.546,139479.076,144031.974,152282.93,162058.689,174393.292,185609.478,195092.569
FL,226316.713,223824983,238160508,208630378,166134798,184161.396,170708.716,161117.55,171966.667,196646.927,209704.617,224773.392,239855.83,254042.65,269160.703,275479.505
DC,434779.682,11153479,11238294,11351607,10832440,473852.818,475680.955,469290.455,508744,551556.091,574000.727,586808.773,613856.682,629882.455,656826.864,676208.227
NC,155762.696,49963691,53592333,55446290,53786053,171836.853,165373.983,158287.02,157971.485,162968.261,166497.268,172535.595,181580.759,191130.462,201833.512,210585.01
GA,165967.655,56756267,59008287,59111007,54451985,151127.622,140146.994,129928.908,134969.975,150322.369,160178.406,169609.628,178621.465,192323.972,206548.437,214683.412
OK,84409.794,29919148,31360140,32147734,32142953,94198.126,92205.162,90878.671,92263.568,94780.803,98073.562,100574.203,104090.562,108329.903,111569.129,117336.944
NJ,391182.542,250150403,256284966,247415024,226784265,381437.631,366650.75,343503.112,337972.4,351132.428,358003.719,361001.224,365886.483,380008.419,391433.25,395036.629
WA,266901.273,86895524,97261369,98828150,88159759,293253.509,271652.225,247827.316,262493.916,291062.753,310151.967,341146.044,380237.575,427403.047,455270.345,472000.276
AZ,205047.977,73062887,76147893,70814914,55275216,184167.378,165353.298,156284.267,181632.332,203566.729,210311.042,222747.878,233950.252,248789.053,266732.454,282562.912
MD,319165.942,156862992,165495567,159153423,141040530,314035.995,301111.412,287868.758,293781.334,311429.542,313118.596,311438.528,319509.276,329403.615,339336.843,341816.291
VA,322446.693,100031707,100321758,94768385,84597479,310671.886,307006.152,301536.337,313349.485,330762.254,332136.08,335074.398,342471.14,354123.205,365354.125,378748.833
MA,387958.287,194516897,187405904,180315116,169363826,346067.925,343794.745,329278.674,337948.063,361653.623,379456.172,389300.651,409141.782,432526.006,450387.874,458673.82
CO,263887.606,73484040,75440984,75733128,72761467,267804.625,258743.242,251829.549,264532.432,286250.034,309733.845,342833.269,368943.758,395783.583,425388.633,437358.144
MI,172998.232,91042040,88642126,82591775,72531026,127038.867,122406.082,118921.977,125522.078,140322.425,148927.926,156067.665,164854.696,176811.805,188205.3,196140.444
OH,131966.844,109903713,110060709,108060257,103704389,122980.105,118998.614,114783.306,114217.057,118151.636,120927.762,125845.938,131491.7,139464.291,148376.075,154863.621
PA,169858.484,155173380,161203505,162079662,155819129,183474.157,179548.472,172839.988,172445.405,177693.099,180446.756,183584.375,187852.021,195626.686,203285.745,209711.607
OR,215262.409,64883701,72739021,73662078,68009575,244998.15,228141.335,211854.028,220405.543,244850.65,258993.185,280586.98,306838.555,328067.268,349352.736,360366.906
CT,309050.887,57602434,58280404,56988072,52988485,294808.024,283022.393,268291.53,261916.893,275329.78,274046.47,281194.589,281748.143,289919.732,292459.881,293675.821
NV,361675.481,45128815,45201114,39982292,29683372,217746.88,199893.62,180751.491,200375.843,247911.296,264556.806,284407.528,299830.657,333051.806,369321.926,377472.889
SC,175837.072,27153139,29536449,29818497,28405811,189141.341,181420.007,171168.507,173622.5,181838.036,188787.58,196517.746,205089.899,215217.5,225589.333,232561.246
KY,118184.304,26475504,27123818,27243794,26749683,121281.843,119335.829,116075.802,116903.631,120102.751,122819.447,127576.484,133978.972,142098.696,147494.479,154427.429
MN,252429.384,58492767,58461558,55828804,50223287,217141.863,206125.858,190561.338,204288.142,224707.749,231943.945,244770.379,257968.904,275264.324,289923.301,301370.233
AR,91089.481,23497927,24601073,24653554,24027512,98572.418,95875.19,94547.527,97437.232,98248.321,100645.473,103062.886,107082.878,111826.169,117144.405,121744.211
MO,168713.261,20483496,20937498,20472375,19485193,164914.991,154924.113,143451.348,145259.296,150642.009,156441.522,162369.878,172443.017,184004.13,194474.304,198734.687
DE,299206.49,16800134,17649331,17254232,16092791,308619,290812.408,269679.898,263234.143,277362.878,282539.449,285561.633,297214.02,299648.347,311921.551,310297.204
AL,127944.933,16494421,17693166,18035367,17439997,139881.748,129120.403,123254.42,122881.731,124978.765,128272.277,131175.462,133213.58,139205.378,146932.958,153283.42
LA,155390.75,12785663,12821549,13017620,12859098,162667.763,160891.211,158502.342,161288.368,165461.5,170459.947,178529.066,183755.737,186762.303,189409.75,193031.816
HI,453221.75,32057254,34065456,33811742,31545432,512697.411,528402.339,507449.464,523983.214,559342.679,587065.714,606470.5,633706.411,661252.625,685939.464,691366.804
WI,201389.064,30061764,30791241,30907010,29292781,199007.638,190119.05,179871.766,178259.057,189157.298,194931.78,202618.184,214374.858,225891.532,238452.014,247853.809
UT,211729.741,12071396,14200081,15963731,14570190,248536.87,231280.481,220701.704,236957.704,263119.722,267970.426,290553.148,313400.167,342144.333,376691.278,396304.889
